Customer ID,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn,Age,Under 30,Married,Number of Dependents,Location ID,Population,Referred a Friend,Number of Referrals,Offer,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Device Protection Plan,Premium Tech Support,Streaming Music,Unlimited Data,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Tenure Bins,Satisfaction Score Label
3668-QPYBK,33.964131,-118.272783,Male,No,No,No,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,37,No,No,0,PZZUIT6837,58198,No,0,No Offer,10.47,21,No,No,No,Yes,0.0,0,20.94,129.09,1,"(0, 12]",1
9237-HQITU,34.059281,-118.30742,Female,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,19,Yes,No,2,CKNALR2542,43019,No,0,No Offer,9.12,51,No,No,No,Yes,0.0,0,18.24,169.89,2,"(0, 12]",2
9305-CDSKC,34.048013,-118.293953,Female,No,No,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,31,No,No,2,VCQKYE1638,62784,No,0,No Offer,12.15,26,Yes,No,Yes,Yes,0.0,0,97.2,917.7,3,"(0, 12]",3
7892-POOKP,34.062125,-118.315709,Female,No,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,23,Yes,Yes,3,SNLISG8671,1957,No,0,Offer C,4.89,47,Yes,Yes,Yes,Yes,0.0,0,136.92,3182.97,3,"(24, 48]",3
0280-XJGEX,34.039224,-118.266293,Male,No,No,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,38,No,No,1,YTSGZA8582,15140,No,0,No Offer,44.33,11,Yes,No,Yes,Yes,0.0,0,2172.17,7208.47,1,"(48, 60]",1
4190-MFLUW,34.066367,-118.309868,Female,No,Yes,No,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,21,Yes,Yes,0,KOMIRT9587,42394,Yes,6,No Offer,9.41,69,Yes,Yes,No,Yes,0.0,0,94.1,622.45,1,"(0, 12]",1
8779-QRDMV,34.02381,-118.156582,Male,Yes,No,No,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,78,No,No,0,OXCZEW7397,68701,No,0,No Offer,0.0,8,Yes,No,No,No,0.0,20,0.0,59.65,3,"(0, 12]",3
1066-JKSGK,34.066303,-118.435479,Male,No,No,No,Yes,No,No,No,No,No,No internet service,No,No,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,29,Yes,No,0,JCBHAM3275,44150,No,0,No Offer,33.58,0,No,No,No,No,0.0,0,33.58,53.73,1,"(0, 12]",1
6467-CHFZW,34.099869,-118.326843,Male,No,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,61,No,Yes,1,JTZSGZ3269,30568,Yes,1,No Offer,31.35,16,No,No,Yes,Yes,0.0,0,1473.45,6222.6,1,"(24, 48]",1
8665-UTDHZ,34.089953,-118.294824,Male,No,Yes,No,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,27,Yes,Yes,0,LQRUCI7526,41713,Yes,1,No Offer,0.0,58,No,No,No,Yes,0.0,0,0.0,30.2,1,"(0, 12]",1
8773-HHUOZ,34.078821,-118.177576,Female,No,No,No,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,20,Yes,No,0,LDBYYV7898,46960,No,0,No Offer,40.55,41,No,No,Yes,Yes,0.0,0,689.35,1782.45,1,"(12, 24]",1
6047-YHPVI,34.110845,-118.259595,Male,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,56,No,No,3,PIUAEO8249,29310,No,0,No Offer,12.6,58,No,No,No,Yes,0.0,0,63.0,379.9,1,"(0, 12]",1
5380-WJKOV,34.137412,-118.207607,Male,No,No,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,51,No,No,1,IUIIMY2813,27866,No,0,Offer C,21.69,28,Yes,No,Yes,Yes,0.0,0,737.46,4286.71,2,"(24, 48]",2
8168-UQWWF,34.11572,-118.192754,Female,No,No,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,48,No,No,2,MWLGBW5553,64672,No,0,No Offer,27.57,18,Yes,No,Yes,Yes,0.0,0,303.27,1408.67,3,"(0, 12]",3
7760-OYPDY,33.987945,-118.370442,Female,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,32,No,No,2,THBNJO4877,8115,No,0,No Offer,5.85,19,No,No,No,No,0.0,20,11.7,175.85,1,"(0, 12]",1
9420-LOJKX,33.92128,-118.274186,Female,No,No,Yes,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,34,No,No,1,WJYFNO3416,24511,No,0,No Offer,3.96,20,No,No,Yes,Yes,0.0,0,59.4,1485.8,1,"(12, 24]",1
7495-OOKFY,34.044271,-118.185237,Female,Yes,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,74,No,Yes,1,FCCECI8494,55668,Yes,1,Offer E,48.85,17,No,No,No,Yes,0.0,0,390.8,1024.1,3,"(0, 12]",3
1658-BYGOY,34.108833,-118.229715,Male,Yes,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,71,No,No,3,HEHUQY7254,47534,No,0,Offer D,11.33,52,No,No,Yes,Yes,45.61,0,203.94,1910.88,2,"(12, 24]",2
